#RevBayes version (1.0.2)
#Build from development (bd7075) on Sun Sep 25 19:04:16 PDT 2016
Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
106	6.51472	-0.51921	7.03393	0.19821	0.0225912	0.00268144	0.00268144	0.00268144	0.00268144	0.00268144	0.00268144	0.0314246	0.0314246	0.0314246	0.737859	0.0639316
107	4.11778	-0.25527	4.37305	0.0639316	0.0836203	0.216135	0.216135	0.216135	0.216135	0.216135	0.216135	0.0230303	0.0230303	0.0230303	0.737859	0.19821
108	0.851671	-0.409086	1.26076	0.0639316	0.395152	0.216135	0.216135	0.216135	0.216135	0.216135	0.216135	0.022728	0.022728	0.022728	0.19821	0.737859
109	2.89748	-2.12703	5.02451	0.0639316	0.154189	0.0250369	0.0250369	0.0250369	0.0250369	0.0250369	0.0250369	0.0784138	0.0784138	0.0784138	0.737859	0.19821
110	6.25236	-0.15613	6.40849	0.0639316	0.00629795	0.0903252	0.0903252	0.0903252	0.0903252	0.0903252	0.0903252	0.0226182	0.0226182	0.0226182	0.737859	0.19821
111	5.46729	-0.297425	5.76472	0.19821	0.0218895	0.087858	0.087858	0.087858	0.087858	0.087858	0.087858	0.0738712	0.0738712	0.0738712	0.0639316	0.737859
112	5.99015	-0.226718	6.21687	0.19821	0.0340781	0.087858	0.087858	0.087858	0.087858	0.087858	0.087858	0.0164673	0.0164673	0.0164673	0.737859	0.0639316
113	4.87471	-0.18796	5.06267	0.0639316	0.0212671	0.193995	0.193995	0.193995	0.193995	0.193995	0.193995	0.038561	0.038561	0.038561	0.19821	0.737859
114	4.47903	-0.415444	4.89447	0.19821	0.015752	0.00915998	0.00915998	0.00915998	0.00915998	0.00915998	0.00915998	0.245731	0.245731	0.245731	0.737859	0.0639316
115	5.78944	-0.372935	6.16237	0.19821	0.0731714	0.0547009	0.0547009	0.0547009	0.0547009	0.0547009	0.0547009	0.0159807	0.0159807	0.0159807	0.0639316	0.737859
116	6.88236	-0.135021	7.01739	0.0639316	0.00483826	0.052488	0.052488	0.052488	0.052488	0.052488	0.052488	0.00102546	0.00102546	0.00102546	0.19821	0.737859
117	0.68383	-0.630724	1.31455	0.737859	0.104651	0.380178	0.380178	0.380178	0.380178	0.380178	0.380178	0.143806	0.143806	0.143806	0.0639316	0.19821
118	1.8246	-0.352974	2.17757	0.0639316	0.0860588	0.380178	0.380178	0.380178	0.380178	0.380178	0.380178	0.0760959	0.0760959	0.0760959	0.737859	0.19821
119	3.25976	-0.13607	3.39583	0.0639316	0.00151504	0.380178	0.380178	0.380178	0.380178	0.380178	0.380178	0.0388142	0.0388142	0.0388142	0.737859	0.19821
120	4.71838	-0.168409	4.88679	0.737859	0.0417654	0.219145	0.219145	0.219145	0.219145	0.219145	0.219145	0.010501	0.010501	0.010501	0.19821	0.0639316
121	1.66031	-0.140696	1.80101	0.737859	0.00402748	0.523659	0.523659	0.523659	0.523659	0.523659	0.523659	0.0523032	0.0523032	0.0523032	0.0639316	0.19821
122	2.7566	-0.288721	3.04532	0.0639316	0.0385445	0.317558	0.317558	0.317558	0.317558	0.317558	0.317558	0.0994562	0.0994562	0.0994562	0.737859	0.19821
123	5.2286	-0.414694	5.64329	0.737859	0.0609372	0.100674	0.100674	0.100674	0.100674	0.100674	0.100674	0.0341501	0.0341501	0.0341501	0.0639316	0.19821
124	3.10718	-1.02814	4.13532	0.737859	0.0761216	0.100674	0.100674	0.100674	0.100674	0.100674	0.100674	0.169763	0.169763	0.169763	0.19821	0.0639316
125	2.01733	-1.04164	3.05897	0.0639316	0.0761216	0.117637	0.117637	0.117637	0.117637	0.117637	0.117637	0.260434	0.260434	0.260434	0.737859	0.19821
126	2.77229	-0.715344	3.48763	0.737859	0.0427438	0.107683	0.107683	0.107683	0.107683	0.107683	0.107683	0.2609	0.2609	0.2609	0.19821	0.0639316
127	5.34429	-0.292041	5.63633	0.737859	0.0227209	0.11069	0.11069	0.11069	0.11069	0.11069	0.11069	0.063046	0.063046	0.063046	0.0639316	0.19821
128	4.95342	-0.539962	5.49338	0.737859	0.0542051	0.0932684	0.0932684	0.0932684	0.0932684	0.0932684	0.0932684	0.0632787	0.0632787	0.0632787	0.19821	0.0639316
