#RevBayes version (1.0.2)
#Build from development (ac3593) on Mon Oct 17 10:49:29 CDT 2016
Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][1][1]	d[1][1][2]	d[1][1][3]	d[1][2][1]	d[1][2][2]	d[1][2][3]	d[1][3][1]	d[1][3][2]	d[1][3][3]	d[2][1][1]	d[2][1][2]	d[2][1][3]	d[2][2][1]	d[2][2][2]	d[2][2][3]	d[2][3][1]	d[2][3][2]	d[2][3][3]	e[1][1]	e[1][2]	e[1][3]	e[2][1]	e[2][2]	e[2][3]	rates[1]	rates[2]	subset_sympatry	widespread_sympatry
68	27.3047	-0.154151	27.4589	0.174337	0.0806	0	0.12628	0	0.00398758	0	0	0.00277336	0.0446044	0	0	0.137851	0	0.00969282	0	0	0.00471755	0.0300734	0	0.0110497	0.00168783	0.00392239	0.0206688	0.000804105	0.00821354	0.733049	0.619699	0.574042	0.251621
69	26.3951	-0.154151	26.5493	0.279985	0.17563	0	0.166304	0	0.00346298	0	0	0.00339725	0.0446044	0	0	0.137851	0	0.0132709	0	0	0.00621205	0.0493972	0	0.0184527	0.0014653	0.00392239	0.0109659	0.000912341	0.00759233	0.509087	0.641927	0.447586	0.27243
70	23.524	-0.154151	23.6782	0.32716	0.198379	0	0.101804	0	0.00438039	0	0	0.00339725	0.0916197	0	0	0.114232	0	0.0145043	0	0	0.00584632	0.0299503	0	0.0307124	0.000970978	0.00558498	0.0168665	0.00122103	0.00762146	0.774374	0.641927	0.0971657	0.575674
71	21.3589	-0.154151	21.513	0.0983796	0.270418	0	0.0683605	0	0.00509553	0	0	0.00508686	0.148416	0	0	0.0900104	0	0.0112582	0	0	0.00584632	0.0203578	0	0.0457479	0.00129963	0.00886747	0.0219661	0.00122103	0.00818631	0.774374	0.444026	0.821973	0.0796476
72	21.6145	-0.154151	21.7687	0.38107	0.278689	0	0.05379	0	0.00309633	0	0	0.0123619	0.163739	0	0	0.0900104	0	0.0105642	0	0	0.00584632	0.0203578	0	0.0457479	0.00203974	0.0154636	0.0207751	0.00122103	0.0132556	0.589271	1.11916	0.310419	0.308512
73	20.8726	-0.154151	21.0268	0.708486	0.158861	0	0.0744035	0	0.00439128	0	0	0.00975199	0.350374	0	0	0.147492	0	0.00933259	0	0	0.00584632	0.0214253	0	0.0457479	0.00197442	0.00754122	0.0321179	0.00142655	0.0107807	0.425636	0.729472	0.140892	0.150622
74	19.1109	-0.154151	19.265	0.708486	0.161597	0	0.0581053	0	0.00783628	0	0	0.010707	0.350374	0	0	0.0762797	0	0.00933259	0	0	0.00599154	0.0232332	0	0.0415863	0.00140108	0.00580151	0.0430288	0.00192381	0.014127	0.436505	1.50602	0.140892	0.150622
75	24.2782	-0.154151	24.4323	0.105123	0.0365834	0	0.0545027	0	0.00891567	0	0	0.00508856	0.0908914	0	0	0.0762797	0	0.00759955	0	0	0.00480127	0.038244	0	0.0467299	0.00324253	0.00424997	0.0299201	0.000891483	0.0140488	0.436505	1.04055	0.14691	0.747968
76	25.2902	-0.154151	25.4444	0.0878815	0.0292564	0	0.0545027	0	0.0143086	0	0	0.00508856	0.0599295	0	0	0.0519449	0	0.0124443	0	0	0.00464747	0.0568163	0	0.0467299	0.00423264	0.00370752	0.0332722	0.000461305	0.00871534	0.352719	0.530598	0.286826	0.625293
77	24.8933	-0.154151	25.0474	0.0388362	0.0479928	0	0.0500206	0	0.0122079	0	0	0.00397317	0.0436505	0	0	0.0632003	0	0.0124443	0	0	0.00478417	0.0568163	0	0.0467299	0.00423264	0.00501862	0.0305275	0.000647694	0.00987992	0.492704	0.803696	0.875673	0.0854909
78	22.4535	-0.154151	22.6077	0.844456	0.0313497	0	0.0748216	0	0.0270652	0	0	0.00503485	0.0436505	0	0	0.0385712	0	0.0106312	0	0	0.0041124	0.0406031	0	0.0547019	0.0043373	0.00652905	0.0297911	0.000896532	0.00623344	0.492704	0.712202	0.0451118	0.110433
79	21.6123	-0.154151	21.7665	0.897472	0.0262314	0	0.0941378	0	0.0270652	0	0	0.00327558	0.0486418	0	0	0.0944681	0	0.0205014	0	0	0.00573854	0.053661	0	0.0455651	0.0070777	0.00872017	0.0215801	0.000857788	0.00623344	0.714378	0.651664	0.0147097	0.0878182
80	21.0008	-0.154151	21.1549	0.754357	0.0294776	0	0.120824	0	0.0199279	0	0	0.00455214	0.0324769	0	0	0.119996	0	0.0167505	0	0	0.00566102	0.0458113	0	0.0502768	0.00692065	0.00438321	0.0218341	0.000574311	0.0138348	0.469899	0.557136	0.0994198	0.146223
81	24.55	-0.154151	24.7042	0.228311	0.0470289	0	0.117943	0	0.0199279	0	0	0.00396479	0.0146141	0	0	0.119996	0	0.0105015	0	0	0.00334777	0.0308016	0	0.0346803	0.00692065	0.00438321	0.017739	0.00161698	0.0123653	0.719688	0.939409	0.645196	0.126493
82	25.1838	-0.154151	25.3379	0.285281	0.145749	0	0.04883	0	0.0270218	0	0	0.00571014	0.00732629	0	0	0.119996	0	0.0156324	0	0	0.00170349	0.0256599	0	0.0346803	0.00851872	0.00299807	0.00715925	0.00161698	0.0111979	0.585612	0.803614	0.53693	0.177789
83	26.3125	-0.154151	26.4667	0.488918	0.0625121	0	0.04883	0	0.0108416	0	0	0.00673392	0.00676009	0	0	0.0921673	0	0.0156324	0	0	0.00232034	0.0256599	0	0.0403831	0.00955334	0.00247526	0.0142519	0.000752996	0.0169261	0.585612	0.803009	0.362875	0.148207
