Iteration	Posterior	Likelihood	Prior	clock_bg	extirpation_rate[1]	extirpation_rate[2]	extirpation_rate[3]	dispersal_rate[1][1]	dispersal_rate[1][2]	dispersal_rate[2][1]	dispersal_rate[2][2]	dispersal_rate[3][1]	dispersal_rate[3][2]	allopatry_prob	sympatry_prob
83	-1616.71	-44.6951	-1572.02	0.517837	0.0150039	0.313647	0.655237	0.176371	0.0832199	0.00337177	0.0562251	0.0269018	0.197317	0.0575823	0.942418
84	-1616.62	-44.1882	-1572.43	0.5879	0.0150039	0.313647	0.655237	0.176371	0.0751359	0.00232295	0.0620947	0.0269018	0.171821	0.0575823	0.942418
85	-1615.28	-45.9339	-1569.35	0.456121	0.0206745	0.313647	0.452442	0.158691	0.112409	0.00168336	0.0558325	0.0269018	0.171821	0.0682569	0.931743
86	-1616.52	-48.0586	-1568.46	0.456121	0.0172897	0.313647	0.315386	0.188012	0.0986456	0.00163998	0.0971527	0.0222469	0.171821	0.0682569	0.931743
87	-1618.06	-43.9244	-1574.14	0.840987	0.0172897	0.328493	0.512162	0.188012	0.0947775	0.00134781	0.0921923	0.0198691	0.145998	0.0813702	0.91863
88	-1615.48	-44.7993	-1570.68	0.645009	0.0172897	0.320477	0.390421	0.188012	0.0513429	0.000975859	0.0921923	0.0198691	0.169912	0.0813702	0.91863
89	-1613.23	-45.7015	-1567.53	0.516772	0.0161366	0.262793	0.342965	0.129392	0.0350078	0.000975859	0.0921923	0.0141213	0.169912	0.0813702	0.91863
90	-1613.08	-46.4653	-1566.61	0.444387	0.0241886	0.262793	0.315743	0.129392	0.0350078	0.00102979	0.0883692	0.0180489	0.169912	0.0813702	0.91863
91	-1619.02	-46.6028	-1572.41	0.97257	0.0271412	0.164164	0.345602	0.129392	0.0431045	0.00087639	0.0883692	0.0213555	0.276206	0.0813702	0.91863
92	-1619.95	-49.0235	-1570.92	0.928077	0.0271412	0.118672	0.281067	0.129392	0.0392863	0.000767329	0.0883692	0.0227806	0.231753	0.309339	0.690661
93	-1613.28	-47.5153	-1565.77	0.417498	0.0271412	0.185143	0.296209	0.0581914	0.0392863	0.000767329	0.133211	0.0295532	0.16444	0.309339	0.690661
94	-1613.36	-48.1749	-1565.18	0.394039	0.0217917	0.185143	0.286198	0.0581914	0.0293207	0.00172558	0.133211	0.0189565	0.16444	0.309339	0.690661
95	-1613.71	-46.395	-1567.31	0.611874	0.0332926	0.161501	0.286198	0.0581914	0.0377286	0.00144963	0.133211	0.0189565	0.16444	0.299904	0.700096
96	-1612.71	-45.3602	-1567.35	0.478395	0.036639	0.157457	0.451762	0.0399443	0.0377286	0.00144237	0.121742	0.0211442	0.16444	0.299904	0.700096
97	-1612.62	-44.1919	-1568.43	0.59482	0.0251468	0.17375	0.451762	0.0264888	0.0377286	0.00144237	0.121742	0.0211442	0.16444	0.299904	0.700096
98	-1613.87	-44.0224	-1569.84	0.712273	0.0223777	0.17375	0.461766	0.0338871	0.030679	0.0014413	0.138261	0.0211442	0.16444	0.299904	0.700096
99	-1614.75	-45.205	-1569.55	0.740712	0.0315035	0.17375	0.377812	0.0333487	0.030679	0.00125085	0.138261	0.0343914	0.16444	0.352596	0.647404
100	-1617.47	-46.2823	-1571.18	0.849851	0.0315035	0.17375	0.377812	0.0874993	0.0379217	0.00125085	0.138261	0.0343914	0.157066	0.36139	0.63861
101	-1615.72	-46.8833	-1568.84	0.564765	0.0315035	0.18271	0.377812	0.0874993	0.0567937	0.00100207	0.178231	0.0248869	0.157066	0.272019	0.727981
102	-1617.81	-46.5288	-1571.28	0.806684	0.0147332	0.115011	0.478621	0.0759353	0.0567937	0.00211276	0.178231	0.0248869	0.153971	0.272019	0.727981
103	-1615.91	-45.7746	-1570.14	0.511727	0.0147332	0.115011	0.677588	0.119491	0.0235274	0.00295451	0.178231	0.0361664	0.153971	0.096351	0.903649
104	-1617.5	-50.3213	-1567.18	0.23247	0.0127737	0.115011	0.652391	0.119491	0.0151053	0.00287227	0.178231	0.0557074	0.153971	0.096351	0.903649
