Iteration	Posterior	Likelihood	Prior	r_gain	r_loss	dp	widespread_sympatry	subset_sympatry	allopatry	clock_bg
2240	-127.013	-128.752	1.73876	0.782866	0.217134	0.318772	0.0595737	0.610354	0.330072	0.000989513
2250	-125.649	-129.616	3.96661	0.711959	0.288041	0.20035	0.0186696	0.579535	0.401795	0.00105634
2260	-129.402	-125.442	-3.95998	0.598442	0.401558	0.84053	0.100728	0.502849	0.396423	0.00183691
2270	-131.086	-133.141	2.05578	0.646145	0.353855	0.262442	0.077199	0.599626	0.323174	0.00229331
2280	-127.996	-128.686	0.689118	0.673765	0.326235	0.30126	0.231618	0.566061	0.202321	0.00125751
2290	-128.338	-128.272	-0.0664083	0.818355	0.181645	0.393979	0.19194	0.320209	0.487851	0.00100265
2300	-128.385	-126.554	-1.83076	0.422951	0.577049	0.517281	0.342973	0.100852	0.556175	0.00189376
2310	-131.129	-122.454	-8.67561	0.515787	0.484213	1.16117	0.542241	0.287748	0.17001	0.0012628
2320	-127.596	-125.788	-1.8079	0.222995	0.777005	0.760917	0.0221685	0.481172	0.49666	0.00247931
2330	-128.162	-127.845	-0.317256	0.236962	0.763038	0.443894	0.143162	0.603225	0.253613	0.0025617
2340	-129.335	-130.938	1.60281	0.130202	0.869798	0.406836	0.0254594	0.817633	0.156908	0.00303227
2350	-127.709	-127.577	-0.132242	0.246322	0.753678	0.514719	0.0533193	0.544396	0.402285	0.00212604
2360	-133.955	-137.625	3.67001	0.265702	0.734298	0.0470275	0.139338	0.822788	0.0378739	0.00313817
2370	-134.706	-137.09	2.38338	0.406127	0.593873	0.09721	0.337174	0.350549	0.312277	0.0020851
2380	-133.077	-136.038	2.96038	0.366672	0.633328	0.197407	0.0581609	0.566259	0.37558	0.00235323
2390	-135.518	-138.837	3.31829	0.302855	0.697145	0.0453735	0.213453	0.394181	0.392366	0.00157739
2400	-135.089	-136.659	1.57003	0.411922	0.588078	0.158779	0.422234	0.192179	0.385587	0.00160419
2410	-139.455	-138.699	-0.75565	0.422389	0.577611	0.452008	0.217196	0.607382	0.175422	0.000772321
2420	-135.81	-132.6	-3.20992	0.306582	0.693418	0.662916	0.310344	0.495148	0.194508	0.00317225
2430	-136.765	-137.499	0.7345	0.511038	0.488962	0.233063	0.471074	0.336096	0.192831	0.00102355
2440	-136.365	-134.75	-1.61453	0.371169	0.628831	0.454482	0.535812	0.457966	0.00622198	0.00291765
2450	-136.197	-133.659	-2.53848	0.335428	0.664572	0.603913	0.283666	0.192102	0.524231	0.00312062
2460	-137.101	-130.747	-6.35354	0.524758	0.475242	0.91625	0.621322	0.0730555	0.305622	0.00172524
2470	-135.365	-135.488	0.12271	0.588051	0.411949	0.376785	0.187919	0.540779	0.271301	0.00119006
2480	-135.603	-131.682	-3.92097	0.516225	0.483775	0.92377	0.0381917	0.412289	0.549519	0.00197889
2490	-135.106	-135.558	0.451241	0.286725	0.713275	0.380323	0.122048	0.480295	0.397657	0.00364336
2500	-135.88	-132.495	-3.38473	0.54526	0.45474	0.706802	0.235456	0.251817	0.512727	0.00162115
