Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
76	-19.8499	-29.2209	9.371	0.524435	0.100363	0.142859	0.147627	0.117934	0.350282	0.186996	0.00368475	0.0459825	0.0457641	0.293307	0.418713	0.0568527
77	-19.4671	-28.5528	9.08577	0.500914	0.0413441	0.049628	0.300627	0.0948145	0.350282	0.111504	0.00635651	0.0459825	0.169476	0.293307	0.29209	0.206996
78	-20.1339	-28.1808	8.04691	0.219491	0.0340917	0.351823	0.0585634	0.113589	0.350282	0.143737	0.00635651	0.0459825	0.169476	0.293307	0.577859	0.202649
79	-15.7808	-26.7405	10.9597	0.233909	0.0340917	0.317119	0.0112197	0.200548	0.166913	0.143737	0.152797	0.0124441	0.169476	0.0675804	0.581267	0.184824
80	-15.9552	-26.1221	10.167	0.63163	0.0726649	0.0983632	0.117029	0.200548	0.166913	0.143737	0.152797	0.00885145	0.231337	0.162964	0.361457	0.00691371
81	-12.8998	-25.2134	12.3136	0.814603	0.0233613	0.364644	0.00630528	0.146331	0.166913	0.143737	0.127562	0.0886724	0.0514127	0.0215998	0.176481	0.0089165
82	-13.0913	-26.5891	13.4978	0.516722	0.0356706	0.0263704	0.340707	0.146331	0.166913	0.143737	0.0758432	0.0135403	0.0514127	0.0215998	0.233576	0.249702
83	-8.38393	-22.078	13.6941	0.660184	0.0261079	0.0263704	0.0101516	0.54192	0.166913	0.037094	0.00608598	0.00493107	0.0514127	0.131505	0.298426	0.0413899
84	-9.95906	-22.2021	12.243	0.723108	0.0293942	0.209422	0.0101516	0.513463	0.166913	0.028457	0.0162425	0.00493107	0.0371201	0.131505	0.23324	0.0436526
85	-9.31766	-24.8513	15.5337	0.343224	0.0291859	0.0230671	0.114114	0.513463	0.00695489	0.0367225	0.0162425	0.00493107	0.0402367	0.0336121	0.135419	0.521358
86	-11.6209	-24.4156	12.7947	0.482427	0.0271014	0.195055	0.114114	0.305045	0.0682535	0.0367225	0.116775	0.00493107	0.0549516	0.16948	0.277109	0.240464
87	-12.1163	-24.1867	12.0704	0.486729	0.0348637	0.0886269	0.155744	0.360367	0.0682535	0.0367225	0.116775	0.00493107	0.129099	0.16948	0.248085	0.265186
88	-13.5274	-24.4915	10.9641	0.53578	0.0231283	0.181435	0.0396603	0.425887	0.148371	0.0367225	0.116775	0.00493107	0.129099	0.16948	0.142166	0.322055
89	-11.0945	-24.1653	13.0707	0.490242	0.0420496	0.181435	0.220278	0.425887	0.0232662	0.0367225	0.0808362	0.00493107	0.0344208	0.0149989	0.215075	0.294683
90	-7.08331	-26.1632	19.0799	0.339951	0.0495806	0.00480263	0.00700657	0.0888443	0.0161664	0.029627	0.0808362	0.00539099	0.166656	0.0149989	0.490698	0.169351
91	-10.2843	-27.7938	17.5096	0.564254	0.0629903	0.00480263	0.0874166	0.0624094	0.00161335	0.133258	0.0154313	0.00539099	0.232629	0.0149989	0.419709	0.0160367
92	-7.88436	-26.4464	18.562	0.458836	0.0800017	0.0422369	0.0874166	0.120545	0.00161335	0.133258	0.0154313	0.00539099	0.0148068	0.0149989	0.3335	0.207665
93	-10.5968	-27.7395	17.1428	0.494544	0.101181	0.00348447	0.0335405	0.120545	0.00161335	0.133258	0.168186	0.0022601	0.0643502	0.0292037	0.225377	0.280078
