Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
95	-19.4377	-25.5341	6.09646	0.76251	0.0552611	0.0740569	0.0740569	0.0740569	0.0740569	0.0740569	0.0740569	0.0211261	0.0211261	0.0211261	0.106201	0.131289
96	-20.062	-25.8431	5.78116	0.568358	0.0442407	0.0950145	0.0950145	0.0950145	0.0950145	0.0950145	0.0950145	0.0427191	0.0427191	0.0427191	0.282365	0.149277
97	-21.4032	-27.5198	6.11656	0.248384	0.0390711	0.0666438	0.0666438	0.0666438	0.0666438	0.0666438	0.0666438	0.0427191	0.0427191	0.0427191	0.491643	0.259974
98	-21.3811	-26.9873	5.60624	0.759626	0.0198225	0.10009	0.10009	0.10009	0.10009	0.10009	0.10009	0.0795541	0.0795541	0.0795541	0.115587	0.124787
99	-23.155	-26.9917	3.83663	0.617108	0.0495423	0.126021	0.126021	0.126021	0.126021	0.126021	0.126021	0.200864	0.200864	0.200864	0.141334	0.241558
100	-24.7002	-28.0204	3.32028	0.383069	0.0925947	0.134604	0.134604	0.134604	0.134604	0.134604	0.134604	0.200864	0.200864	0.200864	0.456451	0.16048
101	-26.2301	-29.4449	3.21479	0.374923	0.131446	0.11684	0.11684	0.11684	0.11684	0.11684	0.11684	0.190326	0.190326	0.190326	0.552896	0.0721808
102	-22.4472	-26.249	3.80185	0.514364	0.0530453	0.200622	0.200622	0.200622	0.200622	0.200622	0.200622	0.126238	0.126238	0.126238	0.330157	0.155479
103	-22.8638	-27.1836	4.31973	0.592038	0.0846146	0.170075	0.170075	0.170075	0.170075	0.170075	0.170075	0.0734278	0.0734278	0.0734278	0.277351	0.130611
104	-22.0974	-27.1802	5.0828	0.370083	0.0326355	0.170075	0.170075	0.170075	0.170075	0.170075	0.170075	0.0490992	0.0490992	0.0490992	0.267438	0.362479
105	-20.7664	-26.1527	5.38628	0.532404	0.0462359	0.170075	0.170075	0.170075	0.170075	0.170075	0.170075	0.0051514	0.0051514	0.0051514	0.270675	0.19692
106	-21.6295	-25.4628	3.83337	0.686843	0.0302748	0.279719	0.279719	0.279719	0.279719	0.279719	0.279719	0.0667596	0.0667596	0.0667596	0.159795	0.153362
107	-24.4702	-25.6503	1.18012	0.702658	0.0302748	0.423508	0.423508	0.423508	0.423508	0.423508	0.423508	0.188295	0.188295	0.188295	0.169369	0.127973
108	-22.8152	-26.7845	3.96937	0.403185	0.0659049	0.200857	0.200857	0.200857	0.200857	0.200857	0.200857	0.0963919	0.0963919	0.0963919	0.564964	0.0318519
109	-21.0875	-26.6265	5.53904	0.940554	0.0505892	0.0592055	0.0592055	0.0592055	0.0592055	0.0592055	0.0592055	0.0963919	0.0963919	0.0963919	0.0361813	0.0232648
110	-21.2906	-25.2299	3.93938	0.676507	0.0421255	0.227635	0.227635	0.227635	0.227635	0.227635	0.227635	0.0963919	0.0963919	0.0963919	0.301669	0.0218244
111	-21.0855	-26.4446	5.35918	0.5665	0.0665899	0.0967053	0.0967053	0.0967053	0.0967053	0.0967053	0.0967053	0.0608771	0.0608771	0.0608771	0.282764	0.150736
112	-20.9966	-27.1408	6.1442	0.564354	0.0403357	0.0379337	0.0379337	0.0379337	0.0379337	0.0379337	0.0379337	0.0674004	0.0674004	0.0674004	0.28548	0.150166
113	-22.5511	-27.7329	5.18174	0.26561	0.0403357	0.125047	0.125047	0.125047	0.125047	0.125047	0.125047	0.0765332	0.0765332	0.0765332	0.380234	0.354156
114	-22.8798	-29.0704	6.19054	0.330792	0.0271022	0.0374011	0.0374011	0.0374011	0.0374011	0.0374011	0.0374011	0.0765332	0.0765332	0.0765332	0.228139	0.441069
115	-19.7665	-26.0054	6.23881	0.620855	0.0577848	0.0662856	0.0662856	0.0662856	0.0662856	0.0662856	0.0662856	0.0121388	0.0121388	0.0121388	0.244019	0.135126
116	-22.1969	-28.3454	6.1485	0.292204	0.0641537	0.0406667	0.0406667	0.0406667	0.0406667	0.0406667	0.0406667	0.0404197	0.0404197	0.0404197	0.184034	0.523762
117	-23.7694	-28.2671	4.49765	0.200524	0.0181236	0.28446	0.28446	0.28446	0.28446	0.28446	0.28446	0.0077422	0.0077422	0.0077422	0.548521	0.250955
118	-21.7172	-26.0986	4.38144	0.449276	0.0260731	0.227683	0.227683	0.227683	0.227683	0.227683	0.227683	0.0681893	0.0681893	0.0681893	0.444551	0.106173
119	-22.0435	-26.3611	4.31762	0.459791	0.0165561	0.281913	0.281913	0.281913	0.281913	0.281913	0.281913	0.0298591	0.0298591	0.0298591	0.431552	0.108658
120	-19.0891	-25.9389	6.8498	0.484119	0.0236968	0.0456644	0.0456644	0.0456644	0.0456644	0.0456644	0.0456644	0.00574865	0.00574865	0.00574865	0.383345	0.132536
121	-20.8008	-25.8448	5.04396	0.495916	0.0408051	0.199765	0.199765	0.199765	0.199765	0.199765	0.199765	0.0151241	0.0151241	0.0151241	0.382083	0.122001
122	-19.7111	-25.58	5.86893	0.582245	0.0234654	0.143041	0.143041	0.143041	0.143041	0.143041	0.143041	0.00669074	0.00669074	0.00669074	0.274517	0.143239
