Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	clock_scale_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	er_mol[1]	er_mol[2]	er_mol[3]	er_mol[4]	er_mol[5]	er_mol[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi_mol[1]	pi_mol[2]	pi_mol[3]	pi_mol[4]	subset_sympatry	widespread_sympatry
560	-13249	-13137.4	-111.582	0.653807	0.0194237	1.0129	0.169295	0.0131987	0.214119	0.336459	0.0415156	0.0482887	0.0412709	0.0856347	0.256004	0.0116212	0.425563	0.0214164	0.0242443	0.444938	0.0722171	0.00107878	0.0479258	0.440692	3.5103	0.353663	0.384359	0.0521119	0.209866	0.0912427	0.254951
570	-13244.8	-13136.6	-108.233	0.287242	0.0289519	1.67188	0.0542999	0.00135877	0.00625837	0.275593	0.0385055	0.0623268	0.0571996	0.0394617	0.110004	0.0147381	0.360595	0.0238877	0.0223304	0.50743	0.0710188	0.00103417	0.0469383	0.437093	3.51493	0.364373	0.359953	0.0649132	0.21076	0.314331	0.398427
580	-13256.2	-13145.9	-110.301	0.394703	0.0199016	1.0517	0.31334	0.0636972	0.103681	0.0420208	0.00793479	0.0527156	0.138355	0.0527267	0.110004	0.0109305	0.370242	0.0245908	0.0367486	0.515899	0.0415888	0.00101814	0.046578	0.435768	3.51664	0.388048	0.35201	0.0550789	0.204863	0.215854	0.389444
590	-13247.7	-13139.3	-108.42	0.308082	0.0182804	1.0517	0.00202927	0.173528	0.103681	0.101663	0.0979606	0.0565144	0.0678556	0.0350935	0.110004	0.0114805	0.436097	0.0217003	0.0264917	0.444812	0.0594184	0.000915083	0.0441893	0.426811	3.52808	0.374022	0.367297	0.0567985	0.201883	0.432142	0.259776
600	-13247.9	-13134.8	-113.067	0.564876	0.0410549	2.4132	0.293987	0.123825	0.0420678	0.238266	0.132167	0.0185093	0.0439819	0.109254	0.161216	0.0144953	0.365497	0.0285142	0.0145225	0.512565	0.0644053	0.00144642	0.0553733	0.466408	3.47677	0.376225	0.353202	0.0650219	0.205551	0.292955	0.142168
610	-13239.2	-13132.5	-106.741	0.236356	0.0162729	0.88876	0.0188152	0.123825	0.165247	0.278708	0.0516255	0.0185093	0.0439819	0.0287555	0.019934	0.00976605	0.419145	0.0234343	0.0253002	0.458319	0.0640353	0.000757749	0.0402593	0.411375	3.54761	0.366348	0.364742	0.0590355	0.209875	0.580924	0.18272
620	-13246	-13137.5	-108.488	0.491297	0.0137472	0.88876	0.0303523	0.0753054	0.165247	0.0753263	0.136216	0.0349139	0.04499	0.22383	0.0416622	0.0134486	0.387172	0.0285684	0.0299523	0.481451	0.0594075	0.000969669	0.0454708	0.431654	3.52191	0.369568	0.357153	0.0614448	0.211835	0.261192	0.247511
630	-13244.6	-13136.2	-108.412	0.266914	0.0200825	1.62723	0.0503246	0.0273926	0.0854074	0.181846	0.0079298	0.0349139	0.009673	0.0519611	0.29373	0.0150143	0.421565	0.036149	0.0290166	0.439909	0.0583461	0.00270256	0.0752613	0.525522	3.39651	0.37408	0.355595	0.0634904	0.206835	0.519773	0.213313
640	-13240.6	-13133.8	-106.752	0.492049	0.0150864	1.04998	0.0521722	0.0273926	0.0605727	0.119626	0.105355	0.123294	0.0248968	0.00163236	0.128618	0.0111308	0.44995	0.0269035	0.041859	0.403321	0.066835	0.00158058	0.0578429	0.474437	3.46614	0.343893	0.376403	0.0544132	0.22529	0.0323125	0.475638
650	-13240.8	-13134.3	-106.524	0.693053	0.013711	0.954897	0.11824	0.0273926	0.09454	0.125421	0.0643281	0.122621	0.00135388	0.0148799	0.0929967	0.0100856	0.471846	0.025215	0.0354884	0.379059	0.0783053	0.0015453	0.0572043	0.472382	3.46887	0.370984	0.370034	0.056326	0.202656	0.0751546	0.231792
